
================
== TensorFlow ==
================

NVIDIA Release 22.03-tf2 (build 33659467)
TensorFlow Version 2.8.0

Container image Copyright (c) 2022, NVIDIA CORPORATION & AFFILIATES. All rights reserved.
Copyright 2017-2022 The TensorFlow Authors.  All rights reserved.

Various files include modifications (c) NVIDIA CORPORATION & AFFILIATES.  All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

NOTE: CUDA Forward Compatibility mode ENABLED.
  Using CUDA 11.6 driver version 510.47.03 with kernel driver version 470.82.01.
  See https://docs.nvidia.com/deploy/cuda-compatibility/ for details.

Anrede	Herr oder Frau.
Training loss (for one batch) at step 120: 1.5044
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1374
Seen so far: 141 samples
Epoch #9
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4908
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5613
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4677
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2358
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0241
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0549
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5047
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1376
Seen so far: 141 samples
Epoch #10
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4914
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5621
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4678
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2364
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0231
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0540
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5052
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1379
Seen so far: 141 samples
Epoch #11
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4926
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5627
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4677
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2373
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0219
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0528
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5045
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1381
Seen so far: 141 samples
Epoch #12
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4936
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5633
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4673
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2366
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0191
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0492
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5053
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1362
Seen so far: 141 samples
Epoch #13
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4936
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5630
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4683
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2379
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0192
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0470
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5027
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1351
Seen so far: 141 samples
Epoch #14
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4938
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5640
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4682
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2382
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0179
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0482
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5019
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1369
Seen so far: 141 samples
Epoch #15
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4947
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5638
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4681
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2381
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0168
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0484
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5013
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1372
Seen so far: 141 samples
Epoch #16
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4959
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5640
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4676
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2371
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0172
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0470
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5028
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1374
Seen so far: 141 samples
Epoch #17
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4968
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5644
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4673
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2354
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0132
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0428
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5019
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1379
Seen so far: 141 samples
Epoch #18
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4981
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5649
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4678
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2369
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0123
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0412
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5015
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1376
Seen so far: 141 samples
Epoch #19
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4982
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5648
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4682
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2355
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0114
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0420
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4982
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1374
Seen so far: 141 samples
Epoch #20
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4986
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5655
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4676
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2345
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0091
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0433
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4976
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1382
Seen so far: 141 samples
Epoch #21
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5004
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5660
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4668
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2332
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0056
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0375
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4996
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1373
Seen so far: 141 samples
Epoch #22
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4995
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5658
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4673
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2330
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0080
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0331
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.5001
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1364
Seen so far: 141 samples
Epoch #23
Execution time was 861 s
Training loss (for one batch) at step 0: 0.4981
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5661
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4671
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2339
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0083
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0440
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4945
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1399
Seen so far: 141 samples
Epoch #24
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5034
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5665
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4664
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2327
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0032
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0358
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4964
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1391
Seen so far: 141 samples
Epoch #25
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5033
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5671
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4669
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2342
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0033
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0328
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4948
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1402
Seen so far: 141 samples
Epoch #26
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5036
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5672
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4672
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2330
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0027
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0363
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4924
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1403
Seen so far: 141 samples
Epoch #27
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5051
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5678
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4671
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2333
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0042
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0335
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4942
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1384
Seen so far: 141 samples
Epoch #28
Execution time was 861 s
Training loss (for one batch) at step 0: 0.5029
Seen so far: 1 samples
Training loss (for one batch) at step 20: 0.5677
Seen so far: 21 samples
Training loss (for one batch) at step 40: 0.4670
Seen so far: 41 samples
Training loss (for one batch) at step 60: 1.2326
Seen so far: 61 samples
Training loss (for one batch) at step 80: 2.0010
Seen so far: 81 samples
Training loss (for one batch) at step 100: 3.0392
Seen so far: 101 samples
Training loss (for one batch) at step 120: 1.4914
Seen so far: 121 samples
Training loss (for one batch) at step 140: 1.1393
Seen so far: 141 samples
Epoch #29
Execution time was 861 s
Execution time was 25857 s
(1, 128)
tf.Tensor([0], shape=(1,), dtype=int64)
[ P A D ]
Familienname.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Sie haben ein Recht auf finanzielle Hilfen nach dem Asylbewerberleistungsgesetz.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
"Personen, mit denen Sie zusammenleben. Diese Personen sind Ihre Partnerin/Ihr Partner und/oder Verwandte von Ihnen (""Bedarfsgemeinschaft"")."

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Sie können auch zwei oder mehr Kreuze machen.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Bitte legen Sie ein Papier vom Amt dazu, wo steht, dass es richtig ist, was Sie schreiben.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
"Einkommen (Was Sie und Ihre ""Bedarfsgemeinschaft"" (siehe Nummer 2) jeden Monat an Geld haben.)."

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Gesellschaft für alle

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Wir wollen die Digitalisierung gut nutzen. Das heißt: Mit der Digitalisierung soll unser Leben einfacher werden.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Pflegerinnen und Pfleger sollen einen besseren Lohn bekommen.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Besonders unterstützen wollen wir solche Vereine, Projekte und Gruppen, die sich gegen Rassismus und Rechts-Extremismus einsetzen. Rassismus heißt: Menschen behandeln andere Menschen schlecht. Und hassen sie sogar. Rechts-Extremismus ist so ähnlich wie Rassismus.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Ich mag hier zu sein. Die Natur ist sehr schön und die Luft ist sehr frisch. Ich fühle keine Probleme hier. Ich fühle mich auch frei.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
Nach dem Tod seiner ersten Frau heiratete er die Schriftstellerin und Journalistin Ernestine von le Fort im Jahr 1856. Sie hatten zwei Söhne.

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
"In allgemeinen, Menschen nennen Steuern ""Gebühren"" oder ""Kosten."""

[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
